;id;rank;title;fullTitle;year;image;crew;imDbRating;imDbRatingCount
47;tt0064116;48;Once Upon a Time in the West;Once Upon a Time in the West (1968);1968;https://m.media-amazon.com/images/M/MV5BODQ3NDExOGYtMzI3Mi00NWRlLTkwNjAtNjc4MDgzZGJiZTA1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX128_CR0,12,128,176_AL_.jpg;Sergio Leone (dir.), Henry Fonda, Charles Bronson;8.4;326155
48;tt1745960;49;Top Gun: Maverick;Top Gun: Maverick (2022);2022;https://m.media-amazon.com/images/M/MV5BOWQwOTA1ZDQtNzk3Yi00ZmVmLWFiZGYtNjdjNThiYjJhNzRjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UX128_CR0,12,128,176_AL_.jpg;Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly;8.4;265105
49;tt0047396;50;Rear Window;Rear Window (1954);1954;https://m.media-amazon.com/images/M/MV5BNGUxYWM3M2MtMGM3Mi00ZmRiLWE0NGQtZjE5ODI2OTJhNTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX128_CR0,12,128,176_AL_.jpg;Alfred Hitchcock (dir.), James Stewart, Grace Kelly;8.4;485490
50;tt0078748;51;Alien;Alien (1979);1979;https://m.media-amazon.com/images/M/MV5BOGQzZTBjMjQtOTVmMS00NGE5LWEyYmMtOGQ1ZGZjNmRkYjFhXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX128_CR0,12,128,176_AL_.jpg;Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt;8.4;865236
51;tt0021749;52;City Lights;City Lights (1931);1931;https://m.media-amazon.com/images/M/MV5BY2I4MmM1N2EtM2YzOS00OWUzLTkzYzctNDc5NDg2N2IyODJmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,12,128,176_AL_.jpg;Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill;8.4;183189
52;tt0095765;53;Cinema Paradiso;Cinema Paradiso (1988);1988;https://m.media-amazon.com/images/M/MV5BM2FhYjEyYmYtMDI1Yy00YTdlLWI2NWQtYmEzNzAxOGY1NjY2XkEyXkFqcGdeQXVyNTA3NTIyNDg@._V1_UX128_CR0,12,128,176_AL_.jpg;Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale;8.4;257613
53;tt0078788;54;Apocalypse Now;Apocalypse Now (1979);1979;https://m.media-amazon.com/images/M/MV5BYmQyNTA1ZGItNjZjMi00NzFlLWEzMWEtNWMwN2Q2MjJhYzEyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX128_CR0,12,128,176_AL_.jpg;Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando;8.4;658372
54;tt0209144;55;Memento;Memento (2000);2000;https://m.media-amazon.com/images/M/MV5BZTcyNjk1MjgtOWI3Mi00YzQwLWI5MTktMzY4ZmI2NDAyNzYzXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX128_CR0,12,128,176_AL_.jpg;Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss;8.4;1219357
55;tt0082971;56;Indiana Jones and the Raiders of the Lost Ark;Indiana Jones and the Raiders of the Lost Ark (1981);1981;https://m.media-amazon.com/images/M/MV5BNTU2ODkyY2MtMjU1NC00NjE1LWEzYjgtMWQ3MzRhMTE0NDc0XkEyXkFqcGdeQXVyMjM4MzQ4OTQ@._V1_UX128_CR0,12,128,176_AL_.jpg;Steven Spielberg (dir.), Harrison Ford, Karen Allen;8.4;953075
56;tt1853728;57;Django Unchained;Django Unchained (2012);2012;https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_UX128_CR0,12,128,176_AL_.jpg;Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz;8.4;1518033
57;tt0910970;58;WALL·E;WALL·E (2008);2008;https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_UX128_CR0,12,128,176_AL_.jpg;Andrew Stanton (dir.), Ben Burtt, Elissa Knight;8.4;1097797
58;tt0405094;59;The Lives of Others;The Lives of Others (2006);2006;https://m.media-amazon.com/images/M/MV5BNmQyNmJjM2ItNTQzYi00ZjMxLWFjMDYtZjUyN2YwZDk5YWQ2XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX128_CR0,12,128,176_AL_.jpg;Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck;8.4;386250
