SITEID,Species,Number Captured,Minimum (mm),Maximum (mm),Project Name,Day,Month,Year,Waterbody Name,WaterbodyType,Start Latitude,Start Longitude,Air Temperature (C),Water Temperature (C),Turbidity (ntu)
6138,Notropis heterodon,1,25,25,2013 Bridle Shiner Critical Habitat Survey,25,7,2013,Gananoque Lake,Lake,44.46013,-76.13773,26.6,25.18,2.32
6138,Micropterus salmoides,1,60,60,2013 Bridle Shiner Critical Habitat Survey,25,7,2013,Gananoque Lake,Lake,44.46013,-76.13773,26.6,25.18,2.32
6138,Lepomis gibbosus,1,24,24,2013 Bridle Shiner Critical Habitat Survey,25,7,2013,Gananoque Lake,Lake,44.46013,-76.13773,26.6,25.18,2.32
6139,Ambloplites rupestris,1,206,206,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.13428,-74.57777,24.6,19.7,19.4
6139,Neogobius melanostomus,4,30,60,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.13428,-74.57777,24.6,19.7,19.4
6139,Lepomis macrochirus,2,33,35,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.13428,-74.57777,24.6,19.7,19.4
6139,Neogobius melanostomus,2,68,71,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.13428,-74.57777,24.6,19.7,19.4
6139,Lepomis macrochirus,15,30,35,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.13428,-74.57777,24.6,19.7,19.4
6139,Lepomis gibbosus,1,123,123,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.13428,-74.57777,24.6,19.7,19.4
6139,Neogobius melanostomus,2,35,54,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.13428,-74.57777,24.6,19.7,19.4
6139,Lepomis macrochirus,1,32,32,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.13428,-74.57777,24.6,19.7,19.4
6139,Lepomis macrochirus,9,30,35,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.13428,-74.57777,24.6,19.7,19.4
6139,Neogobius melanostomus,3,29,60,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.13428,-74.57777,24.6,19.7,19.4
6139,Neogobius melanostomus,1,73,73,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.13428,-74.57777,24.6,19.7,19.4
6140,Pomoxis annularis,2,181,250,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.61045,-82.35836,27.4,21.05,462
6140,Lepomis macrochirus,1,103,103,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.61045,-82.35836,27.4,21.05,462
6140,Notropis buchanani,7,19,38,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.61045,-82.35836,27.4,21.05,462
6140,Etheostoma nigrum,1,31,31,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.61045,-82.35836,27.4,21.05,462
6140,Carassius auratus,4,28,28,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.61045,-82.35836,27.4,21.05,462
6140,Ictalurus punctatus,1,25,25,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.61045,-82.35836,27.4,21.05,462
6140,Pomoxis sp,6,16,19,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.61045,-82.35836,27.4,21.05,462
6140,Dorosoma cepedianum,2,27,29,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.61045,-82.35836,27.4,21.05,462
6140,Pomoxis nigromaculatus,2,21,21,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.61045,-82.35836,27.4,21.05,462
6140,Etheostoma nigrum,2,28,34,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.61045,-82.35836,27.4,21.05,462
6140,Dorosoma cepedianum,3,24,29,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.61045,-82.35836,27.4,21.05,462
6140,Pomoxis nigromaculatus,1,109,109,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.61045,-82.35836,27.4,21.05,462
6140,Carassius auratus,1,32,32,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.61045,-82.35836,27.4,21.05,462
6140,Noturus gyrinus,7,22,23,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.61045,-82.35836,27.4,21.05,462
6140,Ameiurus natalis,1,24,24,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.61045,-82.35836,27.4,21.05,462
6140,Dorosoma cepedianum,1,24,24,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.61045,-82.35836,27.4,21.05,462
6141,Micropterus salmoides,3,52,58,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.13385,-74.55943,25.9,21.48,5.67
6141,Lepomis gibbosus,8,65,125,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.13385,-74.55943,25.9,21.48,5.67
6141,Perca flavescens,2,128,196,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.13385,-74.55943,25.9,21.48,5.67
6141,Labidesthes sicculus,1,45,45,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.13385,-74.55943,25.9,21.48,5.67
6141,Neogobius melanostomus,9,62,74,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.13385,-74.55943,25.9,21.48,5.67
6141,Lepomis macrochirus,28,16,67,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.13385,-74.55943,25.9,21.48,5.67
6141,Micropterus dolomieu,1,31,31,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.13385,-74.55943,25.9,21.48,5.67
6141,Lepomis sp,4,15,31,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.13385,-74.55943,25.9,21.48,5.67
6141,Labidesthes sicculus,1,24,24,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.13385,-74.55943,25.9,21.48,5.67
6141,Neogobius melanostomus,5,35,75,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.13385,-74.55943,25.9,21.48,5.67
6141,Labidesthes sicculus,1,40,40,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.13385,-74.55943,25.9,21.48,5.67
6141,Neogobius melanostomus,3,71,88,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.13385,-74.55943,25.9,21.48,5.67
6141,Lepomis macrochirus,1,37,37,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.13385,-74.55943,25.9,21.48,5.67
6141,Labidesthes sicculus,1,30,30,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.13385,-74.55943,25.9,21.48,5.67
6141,Neogobius melanostomus,2,59,84,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.13385,-74.55943,25.9,21.48,5.67
6141,Labidesthes sicculus,2,31,36,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.13385,-74.55943,25.9,21.48,5.67
6142,Micropterus salmoides,10,34,60,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.12769,-74.49399,25.1,23.27,10.05
6142,Lepomis gibbosus,2,33,116,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.12769,-74.49399,25.1,23.27,10.05
6142,Perca flavescens,2,121,127,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.12769,-74.49399,25.1,23.27,10.05
6142,Lepomis macrochirus,30,30,98,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.12769,-74.49399,25.1,23.27,10.05
6142,Micropterus salmoides,2,32,34,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.12769,-74.49399,25.1,23.27,10.05
6142,Lepomis gibbosus,2,64,114,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.12769,-74.49399,25.1,23.27,10.05
6142,Perca flavescens,1,152,152,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.12769,-74.49399,25.1,23.27,10.05
6142,Lepomis macrochirus,1,33,33,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.12769,-74.49399,25.1,23.27,10.05
6142,Pomoxis nigromaculatus,1,198,198,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.12769,-74.49399,25.1,23.27,10.05
6142,Ambloplites rupestris,1,147,147,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.12769,-74.49399,25.1,23.27,10.05
6142,Micropterus salmoides,1,39,39,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.12769,-74.49399,25.1,23.27,10.05
6142,Lepomis macrochirus,2,25,34,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.12769,-74.49399,25.1,23.27,10.05
6142,Lepomis gibbosus,1,22,22,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.12769,-74.49399,25.1,23.27,10.05
6142,Micropterus salmoides,2,47,55,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.12769,-74.49399,25.1,23.27,10.05
6142,Ambloplites rupestris,1,29,30,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.12769,-74.49399,25.1,23.27,10.05
6142,Neogobius melanostomus,1,71,71,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.12769,-74.49399,25.1,23.27,10.05
6142,Ambloplites rupestris,1,24,24,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.12769,-74.49399,25.1,23.27,10.05
6142,Neogobius melanostomus,1,26,26,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.12769,-74.49399,25.1,23.27,10.05
6142,Lepomis macrochirus,1,35,35,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.12769,-74.49399,25.1,23.27,10.05
6143,Lepomis macrochirus,2,109,197,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.60514,-82.3643,24.3,21.4,464
6143,Dorosoma cepedianum,32,27,34,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.60514,-82.3643,24.3,21.4,464
6143,Pomoxis sp,3,19,21,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.60514,-82.3643,24.3,21.4,464
6143,Notropis sp,7,17,21,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.60514,-82.3643,24.3,21.4,464
6143,Etheostoma nigrum,2,24,31,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.60514,-82.3643,24.3,21.4,464
6143,Pomoxis annularis,19,16,232,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.60514,-82.3643,24.3,21.4,464
6143,Notropis buchanani,1,27,27,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.60514,-82.3643,24.3,21.4,464
6143,Lepomis macrochirus,1,111,111,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.60514,-82.3643,24.3,21.4,464
6143,Dorosoma cepedianum,11,26,27,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.60514,-82.3643,24.3,21.4,464
6143,Notropis sp,6,16,20,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.60514,-82.3643,24.3,21.4,464
6143,Pomoxis annularis,1,204,204,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.60514,-82.3643,24.3,21.4,464
6143,Esox lucius,1,118,118,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.60514,-82.3643,24.3,21.4,464
6143,Carpiodes cyprinus,1,20,20,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.60514,-82.3643,24.3,21.4,464
6143,Dorosoma cepedianum,9,24,28,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.60514,-82.3643,24.3,21.4,464
6143,Notropis sp,9,18,21,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.60514,-82.3643,24.3,21.4,464
6143,Etheostoma nigrum,2,32,34,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.60514,-82.3643,24.3,21.4,464
6144,Luxilus cornutus,97,61,111,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.10986,-74.77325,28.5,21.05,6.93
6144,Notropis rubellus,82,55,57,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.10986,-74.77325,28.5,21.05,6.93
6144,Exoglossum maxillingua,1,80,80,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.10986,-74.77325,28.5,21.05,6.93
6144,Notropis volucellus,25,44,49,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.10986,-74.77325,28.5,21.05,6.93
6144,Ambloplites rupestris,8,26,66,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.10986,-74.77325,28.5,21.05,6.93
6144,Pimephales promelas,4,39,49,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.10986,-74.77325,28.5,21.05,6.93
6144,Pimephales notatus,19,49,84,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.10986,-74.77325,28.5,21.05,6.93
6144,Notemigonus crysoleucas,4,53,72,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.10986,-74.77325,28.5,21.05,6.93
6144,Catostomus commersonii,1,35,35,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.10986,-74.77325,28.5,21.05,6.93
6144,Semotilus atromaculatus,1,78,78,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.10986,-74.77325,28.5,21.05,6.93
6144,Luxilus cornutus,41,56,130,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.10986,-74.77325,28.5,21.05,6.93
6144,Notropis rubellus,5,60,62,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.10986,-74.77325,28.5,21.05,6.93
6144,Notropis volucellus,9,43,50,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.10986,-74.77325,28.5,21.05,6.93
6144,Pimephales notatus,7,55,75,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.10986,-74.77325,28.5,21.05,6.93
6144,Notemigonus crysoleucas,1,72,72,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.10986,-74.77325,28.5,21.05,6.93
6144,Semotilus atromaculatus,2,86,90,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.10986,-74.77325,28.5,21.05,6.93
6144,Lepomis gibbosus,1,96,96,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.10986,-74.77325,28.5,21.05,6.93
6144,Ambloplites rupestris,3,24,117,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.10986,-74.77325,28.5,21.05,6.93
6144,Luxilus cornutus,4,58,85,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.10986,-74.77325,28.5,21.05,6.93
6144,Notropis rubellus,1,49,49,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.10986,-74.77325,28.5,21.05,6.93
6144,Notropis volucellus,8,37,62,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.10986,-74.77325,28.5,21.05,6.93
6144,Ambloplites rupestris,2,24,25,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.10986,-74.77325,28.5,21.05,6.93
6144,Pimephales notatus,3,60,74,2013 Bridle Shiner Critical Habitat Survey,30,7,2013,Raisin River,Stream,45.10986,-74.77325,28.5,21.05,6.93
6145,Dorosoma cepedianum,14,21,23,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.60409,-82.37935,23.7,22.77,355.8
6145,Pomoxis annularis,8,17,19,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.60409,-82.37935,23.7,22.77,355.8
6145,Notropis buchanani,29,22,22,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.60409,-82.37935,23.7,22.77,355.8
6145,Carpiodes cyprinus,2,17,28,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.60409,-82.37935,23.7,22.77,355.8
6145,Pomoxis nigromaculatus,4,18,20,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.60409,-82.37935,23.7,22.77,355.8
6145,Dorosoma cepedianum,5,23,32,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.60409,-82.37935,23.7,22.77,355.8
6145,Pomoxis nigromaculatus,2,20,34,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.60409,-82.37935,23.7,22.77,355.8
6145,Notropis buchanani,10,19,20,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.60409,-82.37935,23.7,22.77,355.8
6145,Pomoxis annularis,6,18,185,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.60409,-82.37935,23.7,22.77,355.8
6145,Lepomis macrochirus,1,187,187,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.60409,-82.37935,23.7,22.77,355.8
6145,Neogobius melanostomus,1,27,27,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.60409,-82.37935,23.7,22.77,355.8
6145,Ictalurus punctatus,1,252,252,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.60409,-82.37935,23.7,22.77,355.8
6145,Dorosoma cepedianum,11,21,25,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.60409,-82.37935,23.7,22.77,355.8
6145,Notropis buchanani,8,16,18,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.60409,-82.37935,23.7,22.77,355.8
6145,Carpiodes cyprinus,2,26,28,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.60409,-82.37935,23.7,22.77,355.8
6145,Etheostoma nigrum,1,30,30,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Otter Creek,Stream,42.60409,-82.37935,23.7,22.77,355.8
6147,Micropterus salmoides,2,44,54,2013 Bridle Shiner Critical Habitat Survey,31,7,2013,Wood Creek,Stream,45.19624,-74.36703,24.2,20.79,7.61
6147,Neogobius melanostomus,1,81,81,2013 Bridle Shiner Critical Habitat Survey,31,7,2013,Wood Creek,Stream,45.19624,-74.36703,24.2,20.79,7.61
6147,Noturus gyrinus,2,21,25,2013 Bridle Shiner Critical Habitat Survey,31,7,2013,Wood Creek,Stream,45.19624,-74.36703,24.2,20.79,7.61
6147,Lepomis gibbosus,1,58,58,2013 Bridle Shiner Critical Habitat Survey,31,7,2013,Wood Creek,Stream,45.19624,-74.36703,24.2,20.79,7.61
6147,Neogobius melanostomus,5,27,72,2013 Bridle Shiner Critical Habitat Survey,31,7,2013,Wood Creek,Stream,45.19624,-74.36703,24.2,20.79,7.61
6147,Noturus gyrinus,1,25,25,2013 Bridle Shiner Critical Habitat Survey,31,7,2013,Wood Creek,Stream,45.19624,-74.36703,24.2,20.79,7.61
6147,Neogobius melanostomus,3,22,76,2013 Bridle Shiner Critical Habitat Survey,31,7,2013,Wood Creek,Stream,45.19624,-74.36703,24.2,20.79,7.61
6147,Noturus gyrinus,2,24,58,2013 Bridle Shiner Critical Habitat Survey,31,7,2013,Wood Creek,Stream,45.19624,-74.36703,24.2,20.79,7.61
6147,Lepomis gibbosus,1,61,61,2013 Bridle Shiner Critical Habitat Survey,31,7,2013,Wood Creek,Stream,45.19624,-74.36703,24.2,20.79,7.61
6147,Ameiurus nebulosus,6,75,102,2013 Bridle Shiner Critical Habitat Survey,31,7,2013,Wood Creek,Stream,45.19624,-74.36703,24.2,20.79,7.61
6147,Ameiurus nebulosus,2,76,90,2013 Bridle Shiner Critical Habitat Survey,31,7,2013,Wood Creek,Stream,45.19624,-74.36703,24.2,20.79,7.61
6147,Neogobius melanostomus,2,25,27,2013 Bridle Shiner Critical Habitat Survey,31,7,2013,Wood Creek,Stream,45.19624,-74.36703,24.2,20.79,7.61
6147,Noturus gyrinus,1,24,24,2013 Bridle Shiner Critical Habitat Survey,31,7,2013,Wood Creek,Stream,45.19624,-74.36703,24.2,20.79,7.61
6147,Noturus gyrinus,4,26,26,2013 Bridle Shiner Critical Habitat Survey,31,7,2013,Wood Creek,Stream,45.19624,-74.36703,24.2,20.79,7.61
6148,Noturus gyrinus,1,22,22,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Little Bear Creek,Stream,42.51068,-82.32788,25.7,20.94,13.98
6148,Lepomis macrochirus,6,59,143,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Little Bear Creek,Stream,42.51068,-82.32788,25.7,20.94,13.98
6148,Pimephales notatus,19,22,25,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Little Bear Creek,Stream,42.51068,-82.32788,25.7,20.94,13.98
6148,Neogobius melanostomus,2,16,16,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Little Bear Creek,Stream,42.51068,-82.32788,25.7,20.94,13.98
6148,Micropterus salmoides,3,22,67,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Little Bear Creek,Stream,42.51068,-82.32788,25.7,20.94,13.98
6148,Notropis anogenus,18,42,49,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Little Bear Creek,Stream,42.51068,-82.32788,25.7,20.94,13.98
6148,Ambloplites rupestris,1,89,89,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Little Bear Creek,Stream,42.51068,-82.32788,25.7,20.94,13.98
6148,Perca flavescens,1,193,193,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Little Bear Creek,Stream,42.51068,-82.32788,25.7,20.94,13.98
6148,Noturus gyrinus,1,12,12,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Little Bear Creek,Stream,42.51068,-82.32788,25.7,20.94,13.98
6148,Lepomis macrochirus,4,75,163,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Little Bear Creek,Stream,42.51068,-82.32788,25.7,20.94,13.98
6148,Pimephales notatus,4,21,26,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Little Bear Creek,Stream,42.51068,-82.32788,25.7,20.94,13.98
6148,Labidesthes sicculus,2,79,80,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Little Bear Creek,Stream,42.51068,-82.32788,25.7,20.94,13.98
6148,Neogobius melanostomus,2,11,19,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Little Bear Creek,Stream,42.51068,-82.32788,25.7,20.94,13.98
6148,Notropis anogenus,3,44,49,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Little Bear Creek,Stream,42.51068,-82.32788,25.7,20.94,13.98
6148,Ambloplites rupestris,1,20,20,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Little Bear Creek,Stream,42.51068,-82.32788,25.7,20.94,13.98
6148,Lepomis gibbosus,2,67,102,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Little Bear Creek,Stream,42.51068,-82.32788,25.7,20.94,13.98
6148,Noturus gyrinus,1,11,11,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Little Bear Creek,Stream,42.51068,-82.32788,25.7,20.94,13.98
6148,Pimephales notatus,15,21,23,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Little Bear Creek,Stream,42.51068,-82.32788,25.7,20.94,13.98
6148,Neogobius melanostomus,2,76,78,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Little Bear Creek,Stream,42.51068,-82.32788,25.7,20.94,13.98
6148,Micropterus salmoides,1,131,131,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Little Bear Creek,Stream,42.51068,-82.32788,25.7,20.94,13.98
6148,Notropis anogenus,40,48,49,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Little Bear Creek,Stream,42.51068,-82.32788,25.7,20.94,13.98
6148,Perca flavescens,1,131,131,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Little Bear Creek,Stream,42.51068,-82.32788,25.7,20.94,13.98
6148,Lepomis gibbosus,1,74,74,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Little Bear Creek,Stream,42.51068,-82.32788,25.7,20.94,13.98
6148,Lythrurus umbratilis,1,50,50,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Little Bear Creek,Stream,42.51068,-82.32788,25.7,20.94,13.98
6148,Ambloplites rupestris,1,14,14,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Little Bear Creek,Stream,42.51068,-82.32788,25.7,20.94,13.98
6148,Notemigonus crysoleucas,15,28,37,2013 Pugnose Minnow Lake St Clair Drains,11,7,2013,Little Bear Creek,Stream,42.51068,-82.32788,25.7,20.94,13.98
6150,Notemigonus crysoleucas,21,40,44,2013 Bridle Shiner Critical Habitat Survey,31,7,2013,Wood Creek,Stream,45.19106,-74.36254,24,21.35,1.51
6150,Neogobius melanostomus,1,20,20,2013 Bridle Shiner Critical Habitat Survey,31,7,2013,Wood Creek,Stream,45.19106,-74.36254,24,21.35,1.51
6150,Perca flavescens,1,110,110,2013 Bridle Shiner Critical Habitat Survey,31,7,2013,Wood Creek,Stream,45.19106,-74.36254,24,21.35,1.51
6150,Micropterus salmoides,15,36,60,2013 Bridle Shiner Critical Habitat Survey,31,7,2013,Wood Creek,Stream,45.19106,-74.36254,24,21.35,1.51
6150,Lepomis gibbosus,11,23,115,2013 Bridle Shiner Critical Habitat Survey,31,7,2013,Wood Creek,Stream,45.19106,-74.36254,24,21.35,1.51
6150,Fundulus diaphanus,1,35,35,2013 Bridle Shiner Critical Habitat Survey,31,7,2013,Wood Creek,Stream,45.19106,-74.36254,24,21.35,1.51
6150,Lepomis macrochirus,2,20,107,2013 Bridle Shiner Critical Habitat Survey,31,7,2013,Wood Creek,Stream,45.19106,-74.36254,24,21.35,1.51
6150,Notemigonus crysoleucas,5,32,37,2013 Bridle Shiner Critical Habitat Survey,31,7,2013,Wood Creek,Stream,45.19106,-74.36254,24,21.35,1.51
