,0,1
139,42.43333333,19.266667
140,16.7,-62.216667
141,34.01666667,-6.816667
142,-25.95,32.583333
143,16.8,96.15
144,-22.56666667,17.083333
145,-0.5477,166.920867
146,27.71666667,85.316667
147,52.35,4.916667
148,-22.26666667,166.45
149,-41.3,174.783333
150,12.13333333,-86.25
151,13.51666667,2.116667
152,9.083333333,7.533333
153,-19.01666667,-169.916667
154,-29.05,167.966667
155,39.01666667,125.75
156,35.183333,33.366667
157,15.2,145.75
158,59.91666667,10.75
159,23.61666667,58.583333
160,33.68333333,73.05
161,7.483333333,134.633333
162,31.76666667,35.233333
163,8.966666667,-79.533333
164,-9.45,147.183333
165,-25.26666667,-57.666667
166,-12.05,-77.05
167,14.6,120.966667
168,-25.06666667,-130.083333
169,52.25,21.0
170,38.71666667,-9.133333
171,18.46666667,-66.116667
172,25.28333333,51.533333
173,-4.25,15.283333
174,44.43333333,26.1
175,55.75,37.6
176,-1.95,30.05
177,17.88333333,-62.85
178,-15.93333333,-5.716667
179,17.3,-62.716667
180,14.0,-61.0
181,18.0731,-63.0822
182,46.76666667,-56.183333
183,13.13333333,-61.216667
184,-13.81666667,-171.766667
185,43.93333333,12.416667
186,0.333333333,6.733333
187,24.65,46.7
188,14.73333333,-17.633333
189,44.83333333,20.5
190,-4.616666667,55.45
191,8.483333333,-13.233333
192,1.283333333,103.85
193,18.01666667,-63.033333
194,48.15,17.116667
195,46.05,14.516667
196,-9.433333333,159.95
197,2.066666667,45.333333
198,9.55,44.05
199,-25.7,28.216667
200,-54.283333,-36.5
201,37.55,126.983333
202,4.85,31.616667
203,40.4,-3.683333
204,6.916666667,79.833333
205,15.6,32.533333
206,5.833333333,-55.166667
207,78.21666667,15.633333
208,-26.31666667,31.133333
209,59.33333333,18.05
210,46.91666667,7.466667
211,33.5,36.3
212,25.03333333,121.516667
213,38.55,68.766667
214,-6.8,39.283333
215,13.75,100.516667
216,13.45,-16.566667
217,-8.583333333,125.6
218,6.116666667,1.216667
219,-9.166667,-171.833333
220,-21.13333333,-175.2
221,10.65,-61.516667
222,36.8,10.183333
223,39.93333333,32.866667
224,37.95,58.383333
225,21.46666667,-71.133333
226,-8.516666667,179.216667
227,0.316666667,32.55
228,50.43333333,30.516667
229,24.46666667,54.366667
230,51.5,-0.083333
231,38.883333,-77.0
232,-34.85,-56.166667
233,38.883333,-77.0
234,18.35,-64.933333
235,41.31666667,69.25
236,-17.73333333,168.316667
237,41.9,12.45
238,10.48333333,-66.866667
239,21.03333333,105.85
240,-13.95,-171.933333
241,27.153611,-13.203333
242,15.35,44.2
243,-15.41666667,28.283333
244,-17.81666667,31.033333
